collection,constellation,processing:level,aws_eos,cop_ads,cop_cds,cop_dataspace,cop_ewds,cop_marine,creodias,creodias_s3,dedl,dedt_lumi,dedt_mn5,earth_search,earth_search_gcs,ecmwf,eumetsat_ds,fedeo_ceda,geodes,geodes_s3,hydroweb_next,meteoblue,peps,planetary_computer,sara,usgs,usgs_satapi_aws,wekeo_cmems,wekeo_ecmwf,wekeo_main
LANDSAT_C2L2,LANDSAT,L1,,,,,,,,,available,,,available,,,,,,,,,,available,,available,,,,
LANDSAT_C2L2ALB_BT,LANDSAT,L2,,,,,,,,,,,,,,,,,,,,,,,,,available,,,
LANDSAT_C2L2ALB_SR,LANDSAT,L2,,,,,,,,,,,,,,,,,,,,,,,,,available,,,
LANDSAT_C2L2ALB_ST,LANDSAT,L2,,,,,,,,,,,,,,,,,,,,,,,,,available,,,
LANDSAT_C2L2ALB_TA,LANDSAT,L2,,,,,,,,,,,,,,,,,,,,,,,,,available,,,
LANDSAT_C2L2_SR,LANDSAT,L2,,,,,,,,,,,,,,,,,,,,,,,,,available,,,
LANDSAT_C2L2_ST,LANDSAT,L2,,,,,,,,,,,,,,,,,,,,,,,,,available,,,
METOP_AMSU_L1,METOP,L1,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
METOP_ASCSZF1B,METOP,L1,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
METOP_ASCSZFR02,METOP,L1,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
METOP_ASCSZO1B,METOP,L1,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
METOP_ASCSZOR02,METOP,L1,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
METOP_ASCSZR1B,METOP,L1,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
METOP_ASCSZRR02,METOP,L1,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
METOP_AVHRRGACR02,"METOP,TIROS,NOAA",L2,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
METOP_AVHRRL1,METOP,L1,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
METOP_GLB_SST_NC,METOP,L3,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
METOP_GOMEL1,METOP,L1,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
METOP_GOMEL1R03,METOP,L1,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
METOP_HIRSL1,METOP,L1,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
